"Life expectancy at birth, total (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Cause of death, by non-communicable diseases (% of total)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Prevalence of HIV, total (% of population ages 15-49)",People practicing open defecation (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure per capita (current US$)
5.334000000000003,1.2193200000000002,7.4500342210351,-1.900000000000002,-0.8,-8.079182293808401,0.6370091480738393,2.18257405246964,-1.1480419599999998,2.0367495000000004
2.506999999999991,0.1952700000000007,6.052928986972702,-4.300000000000001,0.3999999999999999,-2.2996648061228,6.678344145005809,28.713876515795803,2.9696574199999994,593.15703187
3.4490000000000123,-0.4237599999999997,17.603142892124097,-5.4,0.2,-5.53797522984483,4.863713078656602,2.8552393380472,2.01200676,229.42543745000003
7.957999999999998,-6.17441,10.841940068002302,-4.0,-1.1,1.5682965814477008,-1.0266604895052005,-8.934712387468702,0.5884446299999999,2.6413172200000004
1.6910000000000025,-1.1586999999999996,3.076436169480999,-3.4000000000000004,0.4,-0.613196510727723,4.109811185487104,0.0767387423858991,1.3569922500000002,523.55877462
8.189999999999998,-1.40658,11.626680377151004,-6.400000000000002,-4.5,-14.224928939828096,20.5549851937136,7.11434418544003,0.74588544,26.11986688
4.823000000000008,-0.81128,0.3478313235276999,-4.9,0.0,0.0,3.9121003276058985,0.5570670896766927,4.129999999999999,1466.0
3.2073170731707137,-0.93276,-0.9828622098512056,-8.2,0.0,0.0,1.5606074187032988,3.238964459190697,2.99945736,1548.91618605
5.009756097560981,-2.286340000000001,-0.9678332756742948,-7.599999999999998,0.0,0.0,5.897279362220999,4.168620533550708,2.209999999999999,3386.0
3.465999999999994,-1.1421799999999998,20.437637338437995,4.800000000000001,-0.5,-3.17828832901614,2.8197136863192043,-8.4875639545603,1.53281415,183.80036074
-0.6859999999999928,-0.9143999999999995,13.831206936220395,-1.8000000000000007,0.1,-11.6955606050899,8.623616744733198,1.8759104880100992,4.1154220100000005,272.63223748
8.1780487804878,0.8084399999999992,4.816389906244808,-12.1,0.6,0.0,5.3165093396088,-1.250511468404298,1.91644478,1218.71587513
14.832999999999998,2.1598,20.7773049569567,-10.2,-1.8000000000000005,-55.1058147437077,7.29235693204385,4.76896986521758,-0.81676065,5.90888281
1.6140000000000043,1.04217,4.400440834909304,-5.399999999999999,0.1999999999999999,-0.511418144806893,2.3775987967256995,6.332184104017003,0.4695339199999999,93.17501907
3.119512195121956,-2.41779,1.814476298829604,-3.5,0.2,0.0,2.153904008700408,0.6893222341788032,2.34273052,2078.64965128
5.670000000000002,-2.6251,9.874081674172096,-1.099999999999998,-0.1,-5.126414347609033,24.7263029537757,-13.9734449828923,1.82371187,12.84966229
3.1899999999999977,3.76328,2.010628808608189,-5.100000000000001,0.1999999999999999,-0.914668436231285,4.506799510082601,-17.4968594489192,2.8800000000000003,150.0
5.919000000000004,-0.7740900000000002,16.093582140182196,-1.3000000000000007,-0.9000000000000001,-3.3756379755867023,30.2391685868698,11.06611043252483,1.33554154,41.42834868
3.3999999999999773,-1.609869999999999,-8.903996828381295,-2.4000000000000004,0.1,-0.652111962491233,-0.2219479196002964,14.237737435631402,0.6662259099999996,358.5368906299999
2.799999999999997,0.0741800000000001,17.449165541483303,1.6999999999999993,-0.7,-13.34927440982193,22.78987733019009,8.5219396230111,0.4143111699999999,48.28031595000001
6.019512195121948,-3.3288199999999986,5.344369728246605,-8.0,0.1,0.0,31.424160880574703,24.823811460762705,0.9749798800000002,3545.77067192
2.417073170731697,-1.9857999999999996,-1.3118635858917995,-4.6,0.0,0.0,-1.8010224468141018,0.1012376115354953,1.81,1218.0
3.265999999999991,-0.18792,9.915129178050408,-8.599999999999998,0.0,-0.128424731210448,32.222372136929,6.239595420322004,-1.4549832400000002,38.56813402
0.1980000000000075,0.0,7.93521766075429,-5.4,0.0,0.0,0.0,0.0,4.07197702,1066.1645047000002
3.24146341463414,-0.5784799999999999,8.002766071136193,-13.2,0.1,-0.108195306272839,30.678755908448,7.401684069263098,0.2299999999999999,23.0
10.119,3.3434599999999985,25.540681583454194,-4.800000000000001,0.3,-45.0736239411099,12.80436076196713,39.3343359867453,-0.44098585,15.9904321
4.870731707317063,4.19144,5.799187313627499,-6.299999999999997,0.3999999999999999,0.0,4.1555099527028005,17.90405299422379,1.84,741.0
